Country,Crop,Soil Type,Temperature,Season,Category
Afghanistan,Ginger,Loamy soil,20 to 30,Kharif,Spice
Afghanistan,Fennel,Sandy loam,15 to 25,Rabi,Spice
Afghanistan,Cumin,Sandy loam,20 to 30,Rabi,Spice
Afghanistan,Fenugreek,Loamy soil,15 to 25,Rabi,Spice
Afghanistan,Cotton,"Alluvial, sandy loam",21 to 30,Kharif,Cash Crop
Afghanistan,Tobacco,Sandy loam,20 to 30,Kharif,Industrial Crop
Afghanistan,Saffron,"Sandy loam, well-drained",15 to 20,Rabi,Spice
Afghanistan,Sugar Beet,"Loamy, fertile",15 to 22,Rabi,Cash Crop
Afghanistan,Flax,Sandy loam,15 to 25,Rabi,Cash Crop
Afghanistan,Chestnut,Well-drained loamy,13 to 25,Zaid,Dry Fruit
Afghanistan,Macadamia,Sandy loam,20 to 30,Zaid,Dry Fruit
Afghanistan,Brazil Nut,Loamy soil,22 to 32,Zaid,Dry Fruit
Afghanistan,Pecan,Sandy loam,20 to 30,Zaid,Dry Fruit
Afghanistan,Areca Nut,Laterite soil,23 to 30,Kharif,Dry Fruit
Afghanistan,Black Pepper,"Laterite, clay loam",23 to 30,Kharif,Spice
Afghanistan,Cardamom,Humus-rich loam,18 to 25,Kharif,Spice
Afghanistan,Clove,Rich loamy,20 to 30,Kharif,Spice
Afghanistan,Nutmeg,Loamy well-drained,20 to 30,Kharif,Spice
Afghanistan,Niger Seed,Well-drained loamy,20 to 25,Kharif,Oilseed
Afghanistan,Safflower,Loamy soil,15 to 30,Rabi,Oilseed
Afghanistan,Jute,"Alluvial, loamy",24 to 35,Kharif,Industrial Crop
Afghanistan,Hemp,"Loamy, well-drained",15 to 27,Zaid,Industrial Crop
Afghanistan,Indigo,Clay loam,20 to 30,Kharif,Industrial Crop
Afghanistan,Lychee,Loamy soil,21 to 35,Zaid,Fruit
Afghanistan,Guava,"Alluvial, loamy",20 to 30,Zaid,Fruit
Afghanistan,Jackfruit,"Laterite, sandy",25 to 35,Kharif,Fruit
Afghanistan,Papaya,"Loamy, well-drained",21 to 33,Zaid,Fruit
Afghanistan,Banana,Rich loamy,25 to 35,Kharif,Fruit
Afghanistan,Horse Gram,Sandy to clay loam,20 to 30,Kharif,Pulse
Afghanistan,Soybean,"Loamy, well-drained",21 to 32,Kharif,Pulse
Afghanistan,Teff,"Loamy, well-drained",15 to 30,Kharif,Cereal
Afghanistan,Amaranth,Sandy loam,20 to 30,Zaid,Cereal
Albania,Wheat,"Loamy, well-drained",15 to 25,Rabi,Cereal
Albania,Barley,Sandy loam,12 to 25,Rabi,Cereal
Albania,Maize,"Fertile, well-drained loam",18 to 27,Kharif,Cereal
Albania,Oats,"Loamy, cool regions",10 to 20,Rabi,Cereal
Albania,Rye,Sandy or clay loam,10 to 24,Rabi,Cereal
Albania,Apple,Loamy soil,10 to 24,Rabi/Zaid,Fruit
Albania,Grapes,Well-drained loamy,15 to 30,Zaid,Fruit
Albania,Plum,Loamy soil,15 to 25,Zaid,Fruit
Albania,Cherry,Well-drained loam,15 to 25,Zaid,Fruit
Albania,Peach,Sandy loam,15 to 30,Zaid,Fruit
Albania,Fig,Sandy loam,20 to 30,Zaid,Fruit
Albania,Strawberry,Loamy soil,15 to 25,Zaid,Fruit
Albania,Pomegranate,Sandy loam,20 to 38,Kharif,Fruit
Albania,Tomato,Well-drained loam,20 to 30,Kharif/Zaid,Vegetable
Albania,Cucumber,"Loamy, fertile",22 to 30,Zaid,Vegetable
Albania,Cabbage,Sandy to clay loam,15 to 25,Rabi,Vegetable
Albania,Carrot,Deep sandy loam,16 to 20,Rabi,Vegetable
Albania,Onion,Sandy loam,13 to 24,Rabi/Zaid,Vegetable
Albania,Garlic,"Loamy, well-drained",12 to 24,Rabi,Vegetable
Albania,Spinach,Sandy loam,10 to 22,Rabi,Vegetable
Albania,Pepper,Sandy loam,20 to 30,Kharif,Vegetable
Albania,Eggplant,Sandy loam,20 to 30,Kharif,Vegetable
Albania,Lentil,Sandy loam,15 to 25,Rabi,Pulse
Albania,Chickpea,"Loamy, well-drained",15 to 30,Rabi,Pulse
Albania,Bean,Loamy soil,16 to 24,Rabi,Pulse
Albania,Walnut,Loamy soil,10 to 25,Rabi,Dry Fruit
Albania,Hazelnut,"Loamy, slightly acidic",10 to 24,Rabi,Dry Fruit
Albania,Almond,Well-drained sandy,15 to 30,Zaid,Dry Fruit
Albania,Sunflower,Loamy soil,20 to 25,Kharif,Oilseed
Albania,Rapeseed,Loamy soil,10 to 20,Rabi,Oilseed
Albania,Tobacco,Sandy loam,20 to 30,Kharif,Industrial Crop
Albania,Sugar Beet,"Loamy, fertile",15 to 22,Rabi,Cash Crop
Algeria,Wheat,Loamy,10 to 25,Winter,Cereal
Algeria,Barley,Sandy Loam,08 to 22,Winter,Cereal
Algeria,Olives,Clay Loam,15 to 30,All Year,Fruit
Algeria,Dates,Sandy,25 to 40,Summer,Fruit
Algeria,Tomatoes,Loamy,20 to 30,Summer,Vegetable
Algeria,Potatoes,Silt Loam,10 to 20,Spring,Vegetable
Algeria,Carrots,Sandy Loam,10 to 25,Winter,Vegetable
Algeria,Lentils,Clay Loam,10 to 25,Winter,Pulse
Algeria,Chickpeas,Sandy Loam,15 to 30,Winter,Pulse
Algeria,Peppers,Loamy,18 to 30,Summer,Vegetable
Algeria,Garlic,Sandy,12 to 25,Spring,Vegetable
Algeria,Onions,Clay,13 to 24,Winter,Vegetable
Algeria,Cabbage,Sandy Loam,07 to 18,Winter,Vegetable
Algeria,Cauliflower,Loamy,10 to 20,Winter,Vegetable
Algeria,Cucumber,Sandy Loam,20 to 30,Summer,Vegetable
Algeria,Melons,Sandy,22 to 35,Summer,Fruit
Algeria,Watermelons,Loamy Sand,25 to 35,Summer,Fruit
Algeria,Figs,Clay,20 to 30,Summer,Fruit
Algeria,Apricots,Loamy,15 to 25,Spring,Fruit
Algeria,Grapes,Gravelly Loam,20 to 35,Summer,Fruit
Algeria,Maize,Sandy Loam,18 to 30,Summer,Cereal
Algeria,Sorghum,Clay Loam,25 to 35,Summer,Cereal
Algeria,Millet,Sandy,27 to 32,Summer,Cereal
Algeria,Fava Beans,Clay,10 to 20,Winter,Pulse
Algeria,Soybeans,Silt Loam,15 to 30,Spring,Pulse
Algeria,Sunflower,Loamy,20 to 30,Summer,Oilseed
Algeria,Groundnut,Sandy Loam,25 to 35,Summer,Oilseed
Algeria,Cotton,Black Soil,20 to 30,Summer,Fiber
Algeria,Sugarcane,Alluvial,20 to 35,Summer,Commercial
Algeria,Tobacco,Sandy Loam,20 to 30,Summer,Commercial
Algeria,Beets,Clay Loam,05 to 15,Winter,Vegetable
Algeria,Radish,Sandy Loam,10 to 20,Winter,Vegetable
Algeria,Spinach,Silt Loam,10 to 22,Winter,Leafy
Algeria,Lettuce,Loamy,07 to 18,Winter,Leafy
Algeria,Coriander,Sandy Loam,10 to 25,Winter,Spice
Algeria,Fenugreek,Clay Loam,11 to 25,Winter,Spice
Algeria,Parsley,Loamy,10 to 20,Winter,Herb
Algeria,Mint,Sandy Loam,15 to 25,Spring,Herb
Algeria,Basil,Loamy,20 to 30,Summer,Herb
Algeria,Oregano,Sandy Loam,15 to 25,Spring,Herb
Algeria,Thyme,Gravelly,10 to 25,Spring,Herb
Algeria,Cumin,Sandy,15 to 30,Winter,Spice
Algeria,Sesame,Sandy Loam,25 to 35,Summer,Oilseed
Algeria,Quinoa,Sandy,15 to 25,Spring,Pseudocereal
Algeria,Amaranth,Loamy,25 to 35,Summer,Pseudocereal
Algeria,Mustard,Clay Loam,10 to 25,Winter,Oilseed
Algeria,Triticale,Silt Loam,08 to 22,Winter,Cereal
Algeria,Alfalfa,Loamy,15 to 25,Spring,Fodder
Algeria,Clover,Clay Loam,10 to 20,Spring,Fodder
Angola,Cassava,Sandy Loam,20 to 30,All Year,Root
Angola,Maize,Loamy,18 to 30,Summer,Cereal
Angola,Millet,Sandy,27 to 32,Summer,Cereal
Angola,Sorghum,Clay Loam,25 to 35,Summer,Cereal
Angola,Sweet Potato,Sandy,20 to 30,All Year,Root
Angola,Yam,Loamy,25 to 35,Summer,Root
Angola,Banana,Alluvial,25 to 30,All Year,Fruit
Angola,Plantain,Sandy Loam,22 to 30,All Year,Fruit
Angola,Groundnut,Sandy,25 to 35,Summer,Oilseed
Angola,Beans,Clay Loam,18 to 28,Summer,Pulse
Angola,Cowpea,Sandy,20 to 35,Summer,Pulse
Angola,Pineapple,Loamy,24 to 30,Summer,Fruit
Angola,Sugarcane,Alluvial,20 to 35,Summer,Commercial
Angola,Coffee,Loamy,18 to 24,Winter,Commercial
Angola,Tea,Clay Loam,18 to 25,Winter,Commercial
Angola,Tobacco,Sandy Loam,20 to 30,Summer,Commercial
Angola,Tomato,Loamy,20 to 30,Summer,Vegetable
Angola,Cabbage,Sandy Loam,7 to 18,Winter,Vegetable
Angola,Onion,Clay,13 to 24,Winter,Vegetable
Angola,Pepper,Loamy,18 to 30,Summer,Vegetable
Angola,Okra,Sandy Loam,22 to 30,Summer,Vegetable
Angola,Spinach,Silt Loam,10 to 20,Winter,Leafy
Angola,Amaranth,Loamy,25 to 35,Summer,Leafy
Angola,Cucumber,Sandy Loam,20 to 30,Summer,Vegetable
Angola,Pumpkin,Clay,25 to 35,Summer,Vegetable
Angola,Watermelon,Loamy Sand,25 to 35,Summer,Fruit
Angola,Papaya,Sandy Loam,24 to 30,All Year,Fruit
Angola,Mango,Loamy,24 to 35,Summer,Fruit
Angola,Avocado,Clay Loam,18 to 28,Spring,Fruit
Angola,Lemon,Sandy Loam,20 to 30,All Year,Fruit
Angola,Orange,Loamy,18 to 30,All Year,Fruit
Angola,Soybean,Silt Loam,15 to 30,Spring,Pulse
Angola,Sunflower,Loamy,20 to 30,Summer,Oilseed
Angola,Sesame,Sandy Loam,25 to 35,Summer,Oilseed
Angola,Mustard,Clay Loam,10 to 25,Winter,Oilseed
Angola,Peanut,Sandy Loam,24 to 34,Summer,Oilseed
Angola,Cocoa,Loamy,21 to 30,Spring,Commercial
Angola,Cashew,Sandy Loam,25 to 35,Summer,Commercial
Angola,Macadamia,Loamy,24 to 30,Summer,Nut
Angola,Taro,Clay,20 to 30,All Year,Root
Angola,Beetroot,Clay Loam,05 to 15,Winter,Vegetable
Angola,Radish,Sandy Loam,10 to 20,Winter,Vegetable
Angola,Coriander,Sandy Loam,10 to 25,Winter,Spice
Angola,Mint,Sandy Loam,15 to 25,Spring,Herb
Angola,Basil,Loamy,20 to 30,Summer,Herb
Angola,Thyme,Gravelly,10 to 25,Spring,Herb
Angola,Oregano,Sandy Loam,15 to 25,Spring,Herb
Angola,Parsley,Loamy,10 to 20,Winter,Herb
Angola,Cumin,Sandy,15 to 30,Winter,Spice
Antigua and Barbuda,Tomato,"Loamy, well-drained",20 to 30,Dry Season / Year-round,Vegetable
Antigua and Barbuda,Cucumber,"Loamy, well-drained",20 to 30,Wet/Dry Season / Year-round,Vegetable
Antigua and Barbuda,Sweet Pepper,"Loamy, well-drained",20 to 30,Wet/Dry Season / Year-round,Vegetable
Antigua and Barbuda,Lettuce,"Loamy, well-drained",18 to 28,Cooler Dry Season,Vegetable
Antigua and Barbuda,Carrot,"Loamy, well-drained",18 to 28,Cooler Dry Season,Root Vegetable
Antigua and Barbuda,Pumpkin,"Loamy, well-drained",22 to 32,Wet Season,Vegetable
Antigua and Barbuda,Watermelon,Sandy loam,25 to 35,Dry Season / Year-round,Fruit
Antigua and Barbuda,Cabbage,"Loamy, well-drained",18 to 28,Cooler Dry Season,Vegetable
Antigua and Barbuda,Onion,Sandy loam,20 to 30,Dry Season / Year-round,Bulb Vegetable
Antigua and Barbuda,Garlic,"Loamy, well-drained",18 to 28,Cooler Dry Season,Bulb Vegetable
Antigua and Barbuda,Eggplant,"Loamy, well-drained",22 to 32,Wet/Dry Season / Year-round,Vegetable
Antigua and Barbuda,Okra,"Loamy, well-drained",22 to 32,Wet/Dry Season / Year-round,Vegetable
Antigua and Barbuda,Beans (e.g. Green),"Loamy, well-drained",20 to 30,Wet/Dry Season / Year-round,Pulse/Vegetable
Antigua and Barbuda,Peas (e.g. Pigeon),"Loamy, well-drained",20 to 30,Wet/Dry Season / Year-round,Pulse
Antigua and Barbuda,Corn,"Loamy, well-drained",20 to 30,Wet Season,Cereal
Antigua and Barbuda,Sweet Potato,Sandy loam,20 to 30,Wet/Dry Season / Year-round,Root
Antigua and Barbuda,Yam,"Loamy, well-drained",22 to 32,Wet Season,Root
Antigua and Barbuda,Cassava,Sandy loam,22 to 32,Year-round (harvest as needed),Root
Antigua and Barbuda,Banana,"Loamy, rich",25 to 35,Year-round,Fruit
Antigua and Barbuda,Plantain,"Loamy, rich",25 to 35,Year-round,Fruit
Antigua and Barbuda,Pineapple,Sandy loam,20 to 30,Year-round (multiple harvest),Fruit
Antigua and Barbuda,Mango,"Loamy, well-drained",25 to 35,Wet Season (harvest),Fruit
Antigua and Barbuda,Papaya,"Loamy, well-drained",25 to 35,Year-round,Fruit
Antigua and Barbuda,Avocado,"Loamy, well-drained",20 to 30,Year-round (multiple harvest),Fruit
Antigua and Barbuda,Guava,"Loamy, well-drained",20 to 30,Year-round,Fruit
Antigua and Barbuda,Soursop,"Loamy, well-drained",20 to 30,Year-round,Fruit
Antigua and Barbuda,Lime,"Loamy, well-drained",20 to 30,Year-round,Fruit
Antigua and Barbuda,Lemon,"Loamy, well-drained",20 to 30,Year-round,Fruit
Antigua and Barbuda,Orange,"Loamy, well-drained",20 to 30,Year-round,Fruit
Antigua and Barbuda,Grapefruit,"Loamy, well-drained",20 to 30,Year-round,Fruit
Antigua and Barbuda,Coconut,"Sandy, well-drained",25 to 35,Year-round,Fruit
Antigua and Barbuda,Breadfruit,"Loamy, well-drained",22 to 32,Year-round,Fruit
Antigua and Barbuda,Tamarind,"Loamy, well-drained",25 to 35,Dry Season (harvest),Fruit
Antigua and Barbuda,Sugarcane,"Clay loam, well-drained",25 to 35,Year-round (harvest specific),Cash Crop
Antigua and Barbuda,Tobacco,"Loamy, well-drained",20 to 30,Dry Season,Cash Crop
Antigua and Barbuda,Cotton,"Clay loam, well-drained",25 to 35,Wet Season,Cash Crop
Antigua and Barbuda,Sorghum,"Loamy, well-drained",25 to 35,Wet Season,Cereal
Antigua and Barbuda,Millet,"Loamy, well-drained",25 to 35,Wet Season,Cereal
Antigua and Barbuda,Rice,"Clayey, aquatic",25 to 35,Wet Season,Cereal
Antigua and Barbuda,Wheat,"Loamy, well-drained",18 to 28,"Not typical, if grown: Cooler Dry Season",Cereal
Antigua and Barbuda,Barley,"Loamy, well-drained",18 to 28,"Not typical, if grown: Cooler Dry Season",Cereal
Antigua and Barbuda,Soybean,"Loamy, well-drained",20 to 30,Wet Season,Legume
Antigua and Barbuda,Groundnut,Sandy loam,25 to 30,Dry Season,Legume
Antigua and Barbuda,Chili Pepper,Sandy loam,22 to 32,Wet/Dry Season / Year-round,Vegetable
Antigua and Barbuda,Spinach (Tropical),"Loamy, rich",20 to 30,Year-round,Leafy Green
Antigua and Barbuda,Celery,"Loamy, rich",18 to 28,Cooler Dry Season,Vegetable
Antigua and Barbuda,Radish,"Loamy, well-drained",18 to 28,Cooler Dry Season,Root Vegetable
Antigua and Barbuda,Turnip,"Loamy, well-drained",18 to 28,Cooler Dry Season,Root Vegetable
Antigua and Barbuda,Beetroot,"Loamy, well-drained",18 to 28,Cooler Dry Season,Root Vegetable
Antigua and Barbuda,Zucchini,"Loamy, well-drained",20 to 30,Wet/Dry Season / Year-round,Vegetable
Antigua and Barbuda,Broccoli,"Loamy, well-drained",18 to 25,Cooler Dry Season,Vegetable
Antigua and Barbuda,Cauliflower,"Loamy, well-drained",18 to 25,Cooler Dry Season,Vegetable
Antigua and Barbuda,Kale,"Loamy, well-drained",18 to 28,Cooler Dry Season,Vegetable
Antigua and Barbuda,Parsley,"Loamy, well-drained",18 to 28,Year-round,Herb
Antigua and Barbuda,Basil,"Loamy, well-drained",20 to 30,Year-round,Herb
Antigua and Barbuda,Thyme,"Loamy, well-drained",20 to 30,Year-round,Herb
Antigua and Barbuda,Rosemary,"Loamy, well-drained",20 to 30,Year-round,Herb
Antigua and Barbuda,Mint,"Loamy, well-drained",20 to 30,Year-round,Herb
Antigua and Barbuda,Dill,"Loamy, well-drained",18 to 28,Year-round,Herb
Antigua and Barbuda,Mustard Greens,"Loamy, well-drained",18 to 28,Year-round,Leafy Green
Antigua and Barbuda,Lemongrass,"Loamy, well-drained",25 to 35,Year-round,Herb
Antigua and Barbuda,Turmeric,"Loamy, well-drained",25 to 35,Wet Season,Spice
Argentina,Soybean,"Loamy, well-drained",20 to 30,Summer (Planting Spring),Legume
Argentina,Wheat,"Clay loam, well-drained",15 to 25,"Summer (Winter Wheat: Plant Autumn, Harvest Summer)",Cereal
Argentina,Maize (Corn),"Loamy, well-drained",20 to 30,Summer (Planting Spring),Cereal
Argentina,Barley,"Clay loam, well-drained",10 to 25,Summer (Planting Spring/Autumn),Cereal
Argentina,Sorghum,"Loamy, well-drained",20 to 30,Summer (Planting Spring),Cereal
Argentina,Sunflower,"Loamy, well-drained",20 to 30,Summer (Planting Spring),Oilseed
Argentina,Peanut,Sandy loam,20 to 30,Summer (Planting Spring),Legume
Argentina,Rice,"Clayey, irrigated",22 to 32,Summer (Planting Spring),Cereal
Argentina,Cotton,"Clay loam, well-drained",25 to 35,Summer/Autumn,Cash Crop
Argentina,Oats,"Loamy, well-drained",10 to 20,Spring/Summer (Planting Autumn/Spring),Cereal
Argentina,Tomato,"Loamy, well-drained",20 to 30,Summer,Vegetable
Argentina,Potato,"Loamy, well-drained",15 to 25,Summer/Autumn,Tuber Vegetable
Argentina,Onion,Sandy loam,15 to 25,Summer,Bulb Vegetable
Argentina,Garlic,"Loamy, well-drained",10 to 20,Summer,Bulb Vegetable
Argentina,Pumpkin,"Loamy, well-drained",20 to 30,Summer/Autumn,Vegetable
Argentina,Carrot,Sandy loam,15 to 25,Spring/Summer/Autumn,Root Vegetable
Argentina,Lettuce,"Loamy, well-drained",10 to 20,Spring/Autumn,Leafy Green
Argentina,Spinach,"Loamy, well-drained",10 to 20,Spring/Autumn,Leafy Green
Argentina,Cabbage,"Loamy, well-drained",15 to 25,Spring/Autumn,Vegetable
Argentina,Broccoli,"Loamy, well-drained",15 to 25,Spring/Autumn,Vegetable
Argentina,Apple,"Loamy, well-drained",15 to 25,Autumn,Fruit
Argentina,Pear,"Loamy, well-drained",15 to 25,Autumn,Fruit
Argentina,Grape,"Well-drained, varied",20 to 30,Summer/Autumn,Fruit
Argentina,Peach,"Loamy, well-drained",20 to 30,Summer,Fruit
Argentina,Plum,"Loamy, well-drained",15 to 28,Summer,Fruit
Argentina,Cherry,"Loamy, well-drained",10 to 25,Summer,Fruit
Argentina,Strawberry,"Loamy, well-drained",15 to 25,Spring/Summer,Berry
Argentina,Blueberry,"Acidic, well-drained",10 to 25,Summer,Berry
Argentina,Raspberry,"Loamy, well-drained",15 to 25,Summer,Berry
Argentina,Mandarin,"Loamy, well-drained",20 to 30,Autumn/Winter,Fruit
Argentina,Orange,"Loamy, well-drained",20 to 30,Autumn/Winter,Fruit
Argentina,Lemon,"Loamy, well-drained",20 to 30,Autumn/Winter,Fruit
Argentina,Grapefruit,"Loamy, well-drained",20 to 30,Autumn/Winter,Fruit
Argentina,Avocado,"Loamy, well-drained",20 to 30,Autumn,Fruit
Argentina,Olive,"Loamy, well-drained",20 to 30,Autumn,Fruit
Argentina,Banana,"Loamy, rich",25 to 35,Year-round (Northern regions),Fruit
Argentina,Tobacco,"Clay loam, well-drained",20 to 30,Summer,Cash Crop
Argentina,Sugarcane,"Clay loam, well-drained",25 to 35,Year-round (Northern regions),Cash Crop
Argentina,Chili Pepper,Sandy loam,20 to 30,Summer,Vegetable
Argentina,Sweet Potato,Sandy loam,20 to 30,Summer/Autumn,Root
Argentina,Cassava,Sandy loam,22 to 32,Summer (Northern regions),Root
Argentina,Yam,"Loamy, well-drained",22 to 32,Summer (Northern regions),Root
Argentina,Radish,"Loamy, well-drained",10 to 20,Spring/Autumn,Root Vegetable
Argentina,Turnip,"Loamy, well-drained",10 to 20,Spring/Autumn,Root Vegetable
Argentina,Zucchini,"Loamy, well-drained",20 to 30,Summer,Vegetable
Argentina,Beetroot,"Loamy, well-drained",15 to 25,Spring/Autumn,Root Vegetable
Argentina,Cucumber,"Loamy, well-drained",20 to 30,Summer,Vegetable
Argentina,Eggplant,"Loamy, well-drained",22 to 32,Summer,Vegetable
Argentina,Peas,"Loamy, well-drained",10 to 20,Spring,Pulse
Argentina,Beans,"Loamy, well-drained",20 to 30,Summer,Pulse
Argentina,Celery,"Loamy, rich",15 to 25,Spring/Autumn,Vegetable
Argentina,Parsley,"Loamy, well-drained",10 to 25,Spring/Summer/Autumn,Herb
Argentina,Basil,"Loamy, well-drained",20 to 30,Summer,Herb
Argentina,Thyme,"Loamy, well-drained",15 to 25,Spring/Summer,Herb
Argentina,Rosemary,"Loamy, well-drained",15 to 25,Year-round,Herb
Argentina,Mint,"Loamy, well-drained",15 to 25,Spring/Summer,Herb
Argentina,Dill,"Loamy, well-drained",10 to 20,Spring/Summer,Herb
Argentina,Turmeric,"Loamy, well-drained",25 to 35,Summer (Northern regions),Spice
Argentina,Ginger,"Loamy, well-drained",25 to 35,Summer (Northern regions),Spice
Armenia,Mustard Greens,Saline/Alkaline,20 to 28,Rainy,Leafy Green
Armenia,Wheat (Winter),"Chernozem, Brown soils",-5 to 25,Summer,Cereal
Armenia,Wheat (Spring),"Chernozem, Brown soils",10 to 30,Summer,Cereal
Armenia,Barley (Winter),"Chernozem, Brown soils",-5 to 25,Summer,Cereal
Armenia,Barley (Spring),"Chernozem, Brown soils",10 to 30,Summer,Cereal
Armenia,Corn (Maize),"Loamy, well-drained",20 to 30,Late Summer/Autumn,Cereal
Armenia,Oats,"Loamy, well-drained",15 to 25,Summer,Cereal
Armenia,Buckwheat,"Variety of soils, tolerates poor soils",15 to 25,Summer/Autumn,Cereal
Armenia,Rye,"Sandy loam, tolerates poor soils",10 to 25,Summer,Cereal
Armenia,Triticale,"Various, adaptable",10 to 25,Summer,Cereal
Armenia,Chickpea,"Sandy loam, well-drained",20 to 30,Summer,Legume
Armenia,Lentil,"Loamy, well-drained",18 to 28,Summer,Legume
Armenia,Common Bean,"Loamy, well-drained",20 to 30,Summer,Legume
Armenia,Pea,"Loamy, well-drained",15 to 25,Summer,Legume
Armenia,Faba Bean,"Clay loam, well-drained",15 to 25,Summer,Legume
Armenia,Soybean,"Loamy, well-drained",20 to 30,Late Summer/Autumn,Legume
Armenia,Mung Bean,"Loamy, well-drained",25 to 35,Summer,Legume
Armenia,Grass Pea,"Various, tolerates drought",18 to 28,Summer,Legume
Armenia,Cowpea,"Sandy loam, well-drained",25 to 35,Summer,Legume
Armenia,Potato,"Loamy, well-drained",15 to 25,Summer/Autumn,Tuber Vegetable
Armenia,Tomato,"Loamy, well-drained, rich in organic matter",20 to 30,Summer,Fruit Vegetable
Armenia,Cucumber,"Loamy, well-drained, rich in organic matter",20 to 30,Summer,Fruit Vegetable
Armenia,Bell Pepper,"Loamy, well-drained",20 to 30,Summer,Fruit Vegetable
Armenia,Eggplant,"Loamy, well-drained",22 to 30,Summer,Fruit Vegetable
Armenia,Cabbage,"Loamy, well-drained",15 to 25,Summer/Autumn,Leafy Vegetable
Armenia,Carrot,"Sandy loam, deep",15 to 25,Summer/Autumn,Root Vegetable
Armenia,Onion,"Sandy loam, well-drained",15 to 25,Summer,Bulb Vegetable
